nome,online,data,hora,minuto,segundo
"Ely",0,"19/5/2019",22,58,35
"Ely",1,"19/5/2019",22,58,45
"Ely",1,"19/5/2019",22,58,55
"Ely",1,"19/5/2019",22,59,5
